1, -12.6997391613 , -136.8767501632, 21/05/2017, 1

2, -20.1285163360 , -97.8705703969, 21/06/2017, 1

3, -45.3340797989 , -102.8342431005, 21/07/2017, 1

4, -30.5947527059 , -142.9612125982, 21/08/2017, 1

5, -39.1870833743 , -136.4017949283, 21/09/2017, 1

6, -34.9518917291 , -139.3741907689, 21/10/2017, 1

7, -48.4272922708 , -138.1650565323, 21/11/2017, 1

8, -10.3965821818 , -94.8505272925, 21/12/2017, 1

9, -40.2537127539 , -106.4430063574, 21/01/2018, 1

10, -35.8322524726 , -136.0747855092, 21/02/2018, 1

11, -33.9064805554 , -98.0931436494, 21/03/2018, 1

12, -40.7060948716 , -148.4355064567, 21/04/2018, 1

13, -43.2080809088 , -124.8501039924, 21/05/2018, 1

14, -25.5396296715 , -105.9023988600, 21/06/2018, 1

15, -30.4465513911 , -122.7437404975, 21/07/2018, 1

16, -33.6957527342 , -148.8615913404, 21/08/2018, 1

17, -44.0127380723 , -90.8024021056, 21/09/2018, 1

18, -41.6171900284 , -95.3708710081, 21/10/2018, 1

19, -13.7330381124 , -137.0466618180, 21/11/2018, 1

20, -56.7851116307 , -125.3039482307, 21/12/2018, 1

21, -30.2594938782 , -134.0524769966, 21/01/2019, 1

22, -16.5087864206 , -110.7314250063, 21/02/2019, 1

23, -13.7110287015 , -127.9512552814, 21/03/2019, 1

24, -21.3192381157 , -125.5824938768, 21/04/2019, 1

25, -25.1547515835 , -121.8853011783, 21/05/2019, 1

26, -14.7359977405 , -126.7262762025, 10/06/2017, 2

27, -20.1001321152 , -128.1887966572, 10/07/2017, 2

28, -10.8839195598 , -106.7080037467, 10/08/2017, 2

29, -37.1177438680 , -100.4076758169, 10/09/2017, 2

30, -25.2698713426 , -127.6924220555, 10/10/2017, 2

31, -59.5753879424 , -104.1421007617, 10/11/2017, 2

32, -17.5633035775 , -123.0190696721, 10/12/2017, 2

33, -21.6500734406 , -149.9087334796, 10/01/2018, 2

34, -10.3001360457 , -100.6694936709, 10/02/2018, 2

35, -45.6617372416 , -145.3414346908, 10/03/2018, 2

36, -52.3007771570 , -109.0257885116, 10/04/2018, 2

37, -50.4927851588 , -131.1172607360, 10/05/2018, 2

38, -22.9167402223 , -105.6271260677, 10/06/2018, 2

39, -14.6081534608 , -92.7645333590, 10/07/2018, 2

40, -37.8104630894 , -119.3923501993, 10/08/2018, 2

41, -33.5606142662 , -115.3580653786, 10/09/2018, 2

42, -29.2338952419 , -121.5144196206, 10/10/2018, 2

43, -32.4102342838 , -100.5793465537, 10/11/2018, 2

44, -26.4029224386 , -125.1171333786, 10/12/2018, 2

45, -28.2691771389 , -101.2893472013, 10/01/2019, 2

46, -18.6157927330 , -126.1618449335, 10/02/2019, 2

47, -45.4565294159 , -92.7091773146, 10/03/2019, 2

48, -32.9558579731 , -117.5200112292, 10/04/2019, 2

49, -53.5001618664 , -92.1124974834, 10/05/2019, 2

50, -40.6980092687 , -94.0227528587, 10/06/2019, 2

51, 75.0391362175 , -157.6682118455, 26/03/2017, 3

52, 79.0811096575 , -133.6527112330, 26/04/2017, 3

53, 74.6353503515 , -144.9629416945, 26/05/2017, 3

54, 73.5092521168 , -138.2856166588, 26/06/2017, 3

55, 75.1347419783 , -130.0740850717, 26/07/2017, 3

56, 74.5917077337 , -169.4178165493, 26/08/2017, 3

57, 72.8511546817 , -165.5263282524, 26/09/2017, 3

58, 72.8780494113 , -154.3057231718, 26/10/2017, 3

59, 78.0481800577 , -167.3238059680, 26/11/2017, 3

60, 75.5417507270 , -145.8650175370, 26/12/2017, 3

61, 77.8924640594 , -142.4967876321, 26/01/2018, 3

62, 76.1631448102 , -161.7412780746, 26/02/2018, 3

63, 76.2851108109 , -147.7365729109, 26/03/2018, 3

64, 77.5095769416 , -152.5720469572, 26/04/2018, 3

65, 73.1821286460 , -155.6213662520, 26/05/2018, 3

66, 76.7751551032 , -143.5168272320, 26/06/2018, 3

67, 76.7852371916 , -141.3427322970, 26/07/2018, 3

68, 79.3247981106 , -146.9872599919, 26/08/2018, 3

69, 77.7305924658 , -133.2888569512, 26/09/2018, 3

70, 72.1676368304 , -139.2047577580, 26/10/2018, 3

71, 76.7472766623 , -160.4436083280, 26/11/2018, 3

72, 73.9856195273 , -132.8296116566, 26/12/2018, 3

73, 75.0278534643 , -162.2154469566, 26/01/2019, 3

74, 77.9050105428 , -146.9623200674, 26/02/2019, 3

75, 72.9324787524 , -159.5815332558, 26/03/2019, 3

76, 24.9722916004 , -40.0958217029, 17/04/2017, 4

77, 24.3760287549 , -48.8598968176, 17/05/2017, 4

78, 32.7586052067 , -56.1750973417, 17/06/2017, 4

79, 21.6438225245 , -55.7207037815, 17/07/2017, 4

80, 13.4861773781 , -32.3254410049, 17/08/2017, 4

81, 17.8204283853 , -47.9317160267, 17/09/2017, 4

82, 26.9346160288 , -36.8341944911, 17/10/2017, 4

83, 21.9724316439 , -37.9137525372, 17/11/2017, 4

84, 16.7167445676 , -55.0313658524, 17/12/2017, 4

85, 19.5212998798 , -43.3731109478, 17/01/2018, 4

86, 12.0180488573 , -43.6589211196, 17/02/2018, 4

87, 35.1699516807 , -58.6385324405, 17/03/2018, 4

88, 28.4064304635 , -36.6091816577, 17/04/2018, 4

89, 39.8353223968 , -35.6798921785, 17/05/2018, 4

90, 38.9334796411 , -44.0262067150, 17/06/2018, 4

91, 16.6986413750 , -36.3774930715, 17/07/2018, 4

92, 11.1296019755 , -43.6579437478, 17/08/2018, 4

93, 17.4436446128 , -35.0204485166, 17/09/2018, 4

94, 35.2135568276 , -42.1855113293, 17/10/2018, 4

95, 16.4747661196 , -44.1598133017, 17/11/2018, 4

96, 31.4979260655 , -36.6535833369, 17/12/2018, 4

97, 20.4449102564 , -48.6090009467, 17/01/2019, 4

98, 27.4636650353 , -42.4671358161, 17/02/2019, 4

99, 24.0331371380 , -51.5197000706, 17/03/2019, 4

100, 37.1444363087 , -49.5004914373, 17/04/2019, 4

